,Artist,Name,date,price,comments,repeat_sale
979,Edward Hopper,October on Cape Cod,11.28.2012 ,"9,602,500 ", ,0
980,Frans Hals I,"Portrait of Samuel Ampzing, half length",12.05.2007 ,"9,601,704 ", ,0
981,Pablo Picasso,Femme assise dans un fauteuil,06.18.2013 ,"9,601,058 ", ,1
982,Zhang Daqian,Children playing under a pomegranate tree,05.31.2011 ,"9,583,530 ", ,0
983,Qi Baishi,Grass and insects,06.03.2011 ,"9,576,682 ",alb. w/16 works ,0
984,Giovanni Segantini,Primavera sulle alpi,11.09.1999 ,"9,572,500 ", ,0
985,Henri Matisse,Le Géranium,05.07.2008 ,"9,561,000 ", ,0
986,Andy Warhol,Detail of the Last Supper,05.14.2008 ,"9,561,000 ",Christ 112 Times Yellow ,0
987,Jean-Michel Basquiat,Untitled,05.14.2008 ,"9,561,000 ",Prophet I ,0
988,Paul Signac,Constantinople - Corne d′or,06.18.2007 ,"9,559,321 ", ,0
989,Cai Guo Qiang,Drawing for Asia-pacific Economic Cooperation,11.25.2007 ,"9,548,228 ", ,0
990,Zhang Daqian,Daoist goddess playing panpipe,05.27.2013 ,"9,536,352 ", ,0
991,Roy Lichtenstein,Yellow and White Brushstrokes,11.15.2006 ,"9,536,000 ", ,0
992,Ernst Ludwig Kirchner,Gruppe Badender am Strand,02.05.2008 ,"9,534,192 ",Group of Bathers on the Beach ,0
993,Auguste Rodin,"Le Penseur, taille de la porte dit moyen modèle",02.03.2015 ,"9,498,200 ", ,0
994,Wassily Kandinsky,Moskau II,02.03.2015 ,"9,498,200 ",Moscow II ,0
995,Georges Braque,Femme lisant,12.02.1986 ,"9,484,121 ", ,0
996,Vincent van Gogh,Deux crabes,06.21.2004 ,"9,480,882 ", ,0
997,Wassily Kandinsky,Herbstlandschaft,06.23.2014 ,"9,479,320 ",Autumn landscape ,1
998,Chaïm Soutine,Le pâtissier de Cagnes,02.07.2005 ,"9,460,270 ", ,0
999,Claude Monet,Nymphéas,11.13.1990 ,"9,460,000 ", ,0
